customer_id,full_name,region,customer_status,health_score,health_band,churn_risk,recommended_action,priority,owner,created_at
1465-VINDH,Customer 6635,Asia-Pacific,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8327-LZKAS,Customer 5230,Europe,AT RISK,18.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2070-FNEXE,Customer 178,Europe,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6097-EQISJ,Customer 1702,Europe,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
4695-WJZUE,Customer 2185,North America,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2774-LVQUS,Customer 2325,North America,AT RISK,25.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8868-WOZGU,Customer 3981,North America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5748-RNCJT,Customer 6409,North America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2302-ANTDP,Customer 4876,South America,AT RISK,15.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5959-BELXA,Customer 5440,South America,AT RISK,21.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
4325-NFSKC,Customer 5044,South America,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2886-KEFUM,Customer 1548,South America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
1555-DJEQW,Customer 6039,Asia-Pacific,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3672-YITQD,Customer 5178,Europe,AT RISK,25.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6987-XQSJT,Customer 4614,Europe,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3424-NMNBO,Customer 1989,North America,AT RISK,17.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
0397-GZBBC,Customer 2481,North America,AT RISK,22.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8444-WRIDW,Customer 6825,North America,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
0402-CQAJN,Customer 6861,North America,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
1658-BYGOY,Customer 56,South America,AT RISK,21.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8802-UNOJF,Customer 2940,South America,AT RISK,25.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8631-NBHFZ,Customer 3780,South America,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3296-SILRA,Customer 6232,South America,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2761-OCIAX,Customer 1596,South America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
4902-OHLSK,Customer 4183,Asia-Pacific,AT RISK,20.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8063-GBATB,Customer 4559,Asia-Pacific,AT RISK,24.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
7534-BFESC,Customer 291,Asia-Pacific,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
1150-WFARN,Customer 3695,Asia-Pacific,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6927-WTFIV,Customer 5851,Asia-Pacific,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2249-YPRNG,Customer 2954,Europe,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5281-BUZGT,Customer 4913,North America,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8199-ZLLSA,Customer 5128,South America,AT RISK,24.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5502-RLUYV,Customer 4396,South America,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
7234-FECYN,Customer 6887,Asia-Pacific,AT RISK,20.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3319-DWOEP,Customer 6627,Asia-Pacific,AT RISK,21.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
7657-DYEPJ,Customer 3327,Asia-Pacific,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6771-XWBDM,Customer 3731,Asia-Pacific,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
8651-ENBZX,Customer 6334,Europe,AT RISK,18.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6777-TGHTM,Customer 5878,Europe,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9851-KIELU,Customer 881,North America,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3902-FOIGH,Customer 3272,South America,AT RISK,20.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3838-OZURD,Customer 1340,South America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6022-UGGSO,Customer 3008,South America,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9412-GHEEC,Customer 516,South America,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6646-QVXLR,Customer 979,Asia-Pacific,AT RISK,19.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2027-FECZV,Customer 2295,Asia-Pacific,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6402-ZFPPI,Customer 4674,Europe,AT RISK,19.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2995-UPRYS,Customer 5106,Europe,AT RISK,20.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
1724-BQUHA,Customer 2742,Europe,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9079-YEXQJ,Customer 6854,Europe,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5469-CTCWN,Customer 1478,Europe,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2636-ALXXZ,Customer 3302,Europe,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2359-QWQUL,Customer 5006,Europe,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9497-QCMMS,Customer 1977,North America,AT RISK,22.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
5644-PDMZC,Customer 649,North America,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9835-ZIITK,Customer 6036,South America,AT RISK,17.0,CRITICAL,HIGH,Executive Escalation,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6818-WOBHJ,Customer 1264,South America,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3207-OYBWH,Customer 2207,Asia-Pacific,AT RISK,21.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
2840-XANRC,Customer 319,Asia-Pacific,AT RISK,22.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
0334-GDDSO,Customer 411,Asia-Pacific,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
6689-TCZHQ,Customer 1899,Asia-Pacific,AT RISK,26.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
0337-CNPZE,Customer 3335,Asia-Pacific,AT RISK,28.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
9134-CEQMF,Customer 1286,Europe,AT RISK,23.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
1564-NTYXF,Customer 6954,Europe,AT RISK,25.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
3571-RFHAR,Customer 2278,Europe,AT RISK,27.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
0280-XJGEX,Customer 14,Europe,AT RISK,29.0,CRITICAL,HIGH,Customer Success Outreach,HIGH,Customer Success Team,2026-05-30T16:45:55.125015
